en_sents,vi_sents
I'll look after Tom,tôi sẽ chăm sóc tom
Why are you so suspicious?,tại sao bạn lại nghi ngờ
How can you not know?,Làm thế nào bạn có thể không biết?
The church was built in the fifteenth century,nhà thờ được xây dựng vào thế kỷ XV
I wondered if I had ever really understood anyone,tôi tự hỏi nếu tôi đã thực sự hiểu bất cứ ai
He used to try very hard to get straight As,anh ấy đã rất cố gắng để đi thẳng
I said let Tom go.,tôi nói hãy để tom đi.
"The loss amounted to $2,000,000",khoản lỗ lên tới 2.000.000 đô la
He works all night and he sleeps all day.,Anh ấy làm việc cả đêm và anh ấy ngủ cả ngày.
"This isn't an unappealing proposition, is it?","Đây không phải là một đề xuất hấp dẫn, phải không?"
He didn't say a word about it,anh ấy đã không nói một lời về nó
She laid her baby on the bed,cô đặt em bé lên giường
There are discrepancies,có sự khác biệt
He killed himself by taking poison.,anh ta tự sát bằng cách uống thuốc độc.
I still like Tom.,tôi vẫn thích tom
She couldn't convince him to buy her a new car,cô không thể thuyết phục anh mua cho cô một chiếc xe mới
We are going to make up for lost time by taking a short cut,chúng ta sẽ bù đắp thời gian đã mất bằng cách cắt ngắn
I didn't come here alone,tôi đã không đến đây một mình
He drinks a lot but always seems sober.,Anh uống rất nhiều nhưng luôn có vẻ tỉnh táo.
It doesn't matter either way.,dù sao đi nữa cũng không thành vấn đề.
I walk my dog along the river every morning.,Tôi dắt chó đi dạo dọc bờ sông mỗi sáng.
I'm fully recovered,tôi đã bình phục hoàn toàn
I just got back from supermarket.,tôi vừa trở về từ siêu thị
Where's the proof that he committed a crime?,Đâu là bằng chứng cho thấy anh ta phạm tội?
I planned to introduce him to her.,tôi dự định giới thiệu anh ấy với cô ấy.
He taught me how to write,anh ấy dạy tôi viết
Where's the dining car?,xe ăn uống ở đâu
Our teacher hates his students to ask questions while he is giving a lecture,giáo viên của chúng tôi ghét học sinh của mình để đặt câu hỏi trong khi ông đang giảng bài
It seems that Tom is upset about something,có vẻ như tom đang buồn
Let's all just calm down.,tất cả hãy bình tĩnh
Thanks for the support.,cảm ơn về sự hỗ trợ.
I'm going to climb Mt. Kitadake.,Tôi sẽ leo lên mt. kitadake.
He came near being hit by a car,anh ta đến gần bị xe đâm
The battle quickly became fierce and bloody.,trận chiến nhanh chóng trở nên khốc liệt và đẫm máu.
We misjudged Tom.,chúng tôi đánh giá sai tom.
The shopping center will be demolished.,trung tâm mua sắm sẽ bị phá hủy.
The new supermarket was opened last month.,siêu thị mới được khai trương vào tháng trước.
You need someone to help you.,bạn cần ai đó giúp bạn
I've been shopping with Tom.,Tôi đã đi mua sắm với tom.
Don't ask me that,đừng hỏi tôi điều đó
I slept the rest of the day,tôi ngủ phần còn lại của ngày
Tom hugged Mary tightly and never wanted to let her go.,Tom ôm mary thật chặt và không bao giờ muốn buông cô ra.
I'm very impressed by your work.,Tôi rất ấn tượng với công việc của bạn.
They bound the prisoner's arms and legs.,họ trói tay và chân của tù nhân.
His tasks range from digging wells to getting rid of garbage,Nhiệm vụ của anh bao gồm đào giếng đến dọn rác
Just say yes or no.,chỉ nói có hoặc không.
I have just returned from the post office,tôi vừa trở về từ bưu điện
Tom looked at the man who had just come in.,Tom nhìn người đàn ông vừa bước vào.
They all listened.,tất cả họ đều lắng nghe
I can't get used to Tom,tôi không thể quen với tom
Follow the old river bed for two kilometers.,theo lòng sông cũ hai cây số.
Is there any possibility that he'll win the election?,Có khả năng nào ông sẽ giành chiến thắng trong cuộc bầu cử?
That's a very personal question,đó là một câu hỏi rất cá nhân
I'm swamped with work.,Tôi đang bị ngập trong công việc.
Tom doesn't like us very much.,Tom không thích chúng tôi lắm.
How many times a month do you go to the mall?,bao nhiêu lần một tháng bạn đi đến trung tâm mua sắm?
Tom told Mary that he couldn't live without her,Tom nói với mary rằng anh không thể sống thiếu cô ấy
What are some good foods to eat with potatoes?,một số thực phẩm tốt để ăn với khoai tây là gì?
Get out and leave me alone!,ra ngoài và để tôi yên
What do they want?,Họ muốn làm gì?
A stone does not float,một hòn đá không nổi
I've been dying to see him.,Tôi đã rất muốn nhìn thấy anh ấy.
That idea's not bad.,ý tưởng đó không tệ
"As soon as the ship began to move, he got seasick.","Ngay khi con tàu bắt đầu di chuyển, anh ta bị say sóng."
The girl went into the forest to look for mushrooms.,Cô gái đi vào rừng tìm nấm.
I had a meeting with professors and researchers at USP.,tôi đã có một cuộc họp với các giáo sư và nhà nghiên cứu tại usp.
Tom picked up the phone,tom nhấc điện thoại
Are you able to prove it?,bạn có thể chứng minh điều đó không?
I told Tom that I wouldn't help him.,tôi nói với tom rằng tôi sẽ không giúp anh ta.
Don't accuse him of that.,đừng buộc tội anh ấy về điều đó.
Her husband is a member of the Oda family,Chồng cô là thành viên của gia đình oda
I like the Brazilian climate,tôi thích khí hậu Brazil
I'm dead set against the plan,tôi đã chết với kế hoạch
Why do you want such an old car?,Tại sao bạn muốn một chiếc xe cũ như vậy?
Tom will be back home soon.,tom sẽ trở về nhà sớm
You can't accuse him of stealing unless you have proof.,bạn không thể buộc tội anh ta ăn cắp trừ khi bạn có bằng chứng.
Tell us more.,Hãy cho chúng tôi biết thêm.
He doesn't drink coffee,anh ấy không uống cà phê
Don't show me her picture anymore.,đừng cho tôi xem ảnh của cô ấy nữa.
We'll sort this out tomorrow.,chúng ta sẽ sắp xếp thứ này vào ngày mai
The teacher speaks quietly,giáo viên nói khẽ
Is there any danger of radiation?,Có nguy hiểm về phóng xạ không?
What color are your wife's eyes?,Đôi mắt của vợ bạn màu gì?
"Judging from her letter, she seems to be well","đánh giá từ lá thư của cô ấy, cô ấy có vẻ ổn"
They set sail for New York yesterday.,họ đã ra khơi cho new york ngày hôm qua.
Her way of talking got on my nerves,cách nói chuyện của cô ấy làm tôi lo lắng
Tom and Mary have always gotten along well.,tom và mary đã luôn hòa thuận với nhau
It was my plan.,đó là kế hoạch của tôi
Tom sat at the bar drinking by himself,Tom ngồi ở quán rượu uống một mình
"Mom wants to go there, but Dad wants to watch TV at home","mẹ muốn đến đó, nhưng bố muốn xem tivi ở nhà"
He wanted it to be a surprise.,anh muốn nó là một bất ngờ
You were a big help tonight,bạn đã giúp đỡ tối nay
A car drew up in front of my house,một chiếc xe hơi dựng lên trước nhà tôi
I want you to go somewhere,tôi muốn bạn đi đâu đó
I generally don't make mistakes,tôi thường không phạm sai lầm
"I lived in Tokyo a few years ago, but now I live in Kyoto.","tôi đã sống ở Tokyo vài năm trước, nhưng bây giờ tôi sống ở kyoto."
Don't go out now. We're about to have lunch,đừng đi ra ngoài bây giờ chúng tôi chuẩn bị ăn trưa
He slept soundly.,Anh ngủ ngon lành.
Come anytime you like,đến bất cứ lúc nào bạn thích
I'm planning to buy a mobile phone tomorrow.,Tôi dự định mua một chiếc điện thoại di động vào ngày mai.
I realize I'm just stating the obvious.,tôi nhận ra tôi chỉ nói rõ ràng
They run a ferry service across the river.,họ điều hành một dịch vụ phà qua sông.
Doctors suspect smoking has lot to do with cancer,bác sĩ nghi ngờ hút thuốc có liên quan đến ung thư
We were starting to worry you wouldn't make it in time,chúng tôi đã bắt đầu lo lắng bạn sẽ không đến kịp
My shoes are worn out,giày của tôi bị mòn
"Hurry up, and you'll catch the train.","nhanh lên, và bạn sẽ bắt tàu."
It is fortunate that the weather is so nice,thật may mắn vì thời tiết rất đẹp
"Sorry, I mistook you for someone else.","xin lỗi, tôi nhầm bạn với người khác"
Replace it.,thay thế nó.
What are you after?,bạn là gì sau
She's turning red,cô ấy chuyển sang màu đỏ
Tom did nothing but lie in bed all day.,tom không làm gì ngoài nằm trên giường cả ngày.
We had scarcely returned when it began raining.,chúng tôi hiếm khi quay trở lại khi trời bắt đầu mưa.
I'm a new student,toi la hoc sinh moi
It doesn't look promising.,Nó không có vẻ hứa hẹn.
He was very kind to me at the party,anh ấy rất tốt với tôi trong bữa tiệc
I'm not materialistic,tôi không duy vật
The most essential thing in the world to any individual is to understand himself,điều cần thiết nhất trên thế giới đối với bất kỳ cá nhân nào là hiểu chính mình
Have you ever heard someone speaking Esperanto?,Bạn đã bao giờ nghe ai đó nói esperanto chưa?
It was my dream.,đó là giấc mơ của tôi
Eat your veggies,ăn rau của mình đi
Do you have this symptom often?,bạn có triệu chứng này thường xuyên không?
I'm not at fault.,tôi không có lỗi
Tom told me to speak more slowly.,tom bảo tôi nói chậm hơn
He lives in that house over there,anh ấy sống trong ngôi nhà đằng kia
Call me this afternoon,gọi cho tôi chiều nay
You're the one who started the fight,bạn là người bắt đầu cuộc chiến
"You really don't want to go by yourself, do you?","bạn thực sự không muốn đi một mình, phải không?"
Tom has just been told that he's been fired,Tom vừa được thông báo rằng anh ta đã bị sa thải
"To tell the truth, I don't like him.","nói thật, tôi không thích anh ấy."
Tom and I recognized each other even though we hadn't seen each other for years,tom và tôi nhận ra nhau mặc dù chúng tôi đã không gặp nhau trong nhiều năm
Can you tell me how to get to the nearest station?,bạn có thể cho tôi biết làm thế nào để đến ga gần nhất?
Tom couldn't walk without a cane.,Tom không thể đi mà không có gậy.
I wonder where I put my glasses,tôi tự hỏi tôi để kính ở đâu
I don't feel the same way.,tôi không cảm thấy như vậy
Is everything ready?,mọi thứ đã sẵn sàng chưa?
What were you staring at?,bạn đang nhìn gì vậy
He warned me of the danger.,ông cảnh báo tôi về sự nguy hiểm.
Romeo instantly fell in love with Juliet,romeo ngay lập tức yêu juliet
Tom goes to college in Boston.,tom đi học đại học ở boston.
I had a really bad nightmare last night.,tôi đã có một cơn ác mộng thực sự tồi tệ đêm qua.
Tom didn't agree with Mary about the matter,tom không đồng ý với mary về vấn đề này
The man left the restaurant without paying.,Người đàn ông rời khỏi nhà hàng mà không trả tiền.
I'll ask my grandfather to take me there during the next summer vacation.,Tôi sẽ yêu cầu ông tôi đưa tôi đến đó trong kỳ nghỉ hè tới.
I never bet on baseball,tôi không bao giờ đặt cược vào bóng chày
You can't escape.,bạn không thể trốn thoát
It is difficult to relate to someone who has different values from you,thật khó để liên quan đến một người có giá trị khác với bạn
Let's eat lunch outside,chúng ta hãy ăn trưa bên ngoài
His quick temper will get him in trouble one day.,một ngày nóng nảy sẽ khiến anh gặp rắc rối.
He works from nine to five-thirty.,ông làm việc từ chín đến năm giờ ba mươi.
How's the party going?,bữa tiệc diễn ra thế nào
What were you like when you were fifteen?,Bạn thích gì khi bạn mười lăm tuổi?
We were obliged to obey the rule,chúng tôi có nghĩa vụ phải tuân theo quy tắc
He came back after many years.,Anh đã trở lại sau nhiều năm.
Just stay focused.,Chỉ cần tập trung.
Tom is a good father.,tom là một người cha tốt
His speech was brief and to the point,bài phát biểu của ông ngắn gọn và đi vào vấn đề
This adds to the expense.,điều này làm tăng thêm chi phí
Poison can kill you.,chất độc có thể giết chết bạn.
They are lazy. I can't understand such people.,họ lười biếng tôi không thể hiểu những người như vậy.
You need help,bạn cần trợ giúp
Tom wanted Mary to clean her room.,Tom muốn mary dọn phòng.
I suggested that John be called.,tôi đề nghị john được gọi.
Do you still have feelings for him?,bạn có còn tình cảm với anh ấy không?
You must get rid of that bad habit.,bạn phải từ bỏ thói quen xấu đó
Is the rat alive or dead?,con chuột còn sống hay đã chết?
The streets in Tokyo are full on Saturdays.,đường phố ở Tokyo đầy ắp vào thứ bảy.
These grapes are ripe.,những quả nho này đã chín.
She sang as she walked.,Cô vừa hát vừa đi.
I don't understand this novel's plot.,tôi không hiểu cốt truyện của cuốn tiểu thuyết này.
You are mistaken about that.,bạn đang nhầm về điều đó
Tom treats his employees generously,tom đối xử với nhân viên của mình một cách hào phóng
It's worth a fortune.,nó đáng giá cả gia tài
I like my job just fine.,tôi thích công việc của tôi tốt
She always fed her children before she fed her dog.,cô luôn cho con ăn trước khi cho chó ăn.
Tom is a geek,tom là một người đam mê
You need to take a break,bạn cần nghỉ ngơi
Since we insulated the house we've saved a lot on heating oil.,"kể từ khi chúng tôi cách nhiệt ngôi nhà, chúng tôi đã tiết kiệm rất nhiều dầu sưởi."
Tom hasn't complained of any discomfort,Tom đã không phàn nàn về bất kỳ sự khó chịu
"If you can't beat them, join them.","nếu bạn không thể đánh bại họ, hãy tham gia cùng họ."
I was stupid to make a mistake like that.,tôi thật ngu ngốc khi phạm sai lầm như thế
An ice storm is coming in.,một cơn bão băng đang ập đến.
Tom began to feel afraid.,tom bắt đầu thấy sợ.
I've never played golf.,Tôi chưa bao giờ chơi gôn.
Tom and Mary had to go to band rehearsal,Tom và mary đã phải đi đến buổi tập của ban nhạc
"Hey guys, it's getting late","này các bạn, muộn rồi"
Tom is offensive.,tom là xúc phạm.
Tom said you were different.,Tom nói bạn khác biệt.
"She loves Tom, not me","cô ấy yêu tom, không phải tôi"
The ship hasn't even docked yet.,Con tàu thậm chí còn chưa cập cảng.
I am still waiting to be told what happened.,tôi vẫn đang chờ đợi để được nói những gì đã xảy ra.
You've never told us how you met Tom.,bạn chưa bao giờ nói với chúng tôi bạn đã gặp tom như thế nào.
"Human beings, whether they realise it or not, continually seek happiness.","con người, dù có nhận ra hay không, vẫn liên tục tìm kiếm hạnh phúc."
Are you scared to tell Tom?,bạn có sợ nói với tom không?
Tom is wearing a uniform.,Tom đang mặc đồng phục.
I don't like baths.,tôi không thích tắm
Tom didn't tell the truth,tom đã không nói sự thật
I have two passes to the Imperial Theater.,Tôi có hai lần đi đến nhà hát đế quốc.
I have been his greatest fan all my life.,tôi đã là người hâm mộ lớn nhất của anh ấy suốt cuộc đời.
The meat has gone bad.,Thịt đã hỏng
"I did so, not because I wanted to, but because I had to","tôi đã làm như vậy, không phải vì tôi muốn, mà vì tôi phải"
I don't know Tom very well.,tôi không biết rõ về tom
Tom shouldn't have left the window open,Tom không nên để cửa sổ mở
Let's start over,Hãy làm lại từ đầu
"Our stuff got stolen, and we missed our train","công cụ của chúng tôi đã bị đánh cắp, và chúng tôi đã bỏ lỡ chuyến tàu của chúng tôi"
This climate is having a bad effect on your health,khí hậu này có ảnh hưởng xấu đến sức khỏe của bạn
Tom hid the gun under some socks in the drawer.,tom giấu khẩu súng dưới một số vớ trong ngăn kéo.
I still have a few friends in Boston.,Tôi vẫn có một vài người bạn ở boston.
You had me worried,bạn đã làm tôi lo lắng
Night is when most people sleep,đêm là lúc hầu hết mọi người ngủ
Tom got promoted recently.,tom được thăng chức gần đây.
Tom wouldn't run,tom sẽ không chạy
What do you think happened to Tom?,Bạn nghĩ gì đã xảy ra với tom?
What are you going to do with those?,bạn sẽ làm gì với những thứ đó?
I've lived a long time,tôi đã sống một thời gian dài
What's that thing?,cái gì thế
I want a copy of Tom's daily schedule.,tôi muốn một bản sao của lịch trình hàng ngày của tom.
You're very observant.,bạn rất quan sát.
Don't ask me what that is,đừng hỏi tôi đó là gì
This hat suits me nicely,chiếc mũ này rất hợp với tôi
His father got records of bird songs for him.,Cha anh đã thu âm các bài hát chim cho anh.
Thank you very much for your hospitality.,cảm ơn bạn rất nhiều vì sự hiếu khách của bạn
Don't you think we deserve Tom's respect?,bạn không nghĩ rằng chúng tôi xứng đáng với sự tôn trọng của tom sao?
Thunder indicates that a storm is near,sấm sét chỉ ra rằng một cơn bão đang đến gần
You need to go,bạn cần phải đi
Mr. Smith left Japan this morning,Ông. smith rời Nhật Bản sáng nay
Tom keeps a change of clothes in his office.,tom giữ một sự thay đổi quần áo trong văn phòng của mình.
Did Tom happen to tell you how he plans to do that?,Tom đã xảy ra để cho bạn biết làm thế nào anh ta dự định làm điều đó?
We must be going now,chúng ta phải đi ngay bây giờ
Tom wiped away Mary's tears,tom lau nước mắt của mary
I heard it.,tôi đã nghe điều đó.
That's not helpful.,Điều đó không hữu ích.
He never said it again.,anh không bao giờ nói lại.
You were always a little strange.,bạn luôn luôn là một chút lạ.
Tom went home.,tom về nhà
Tom took a step backward,tom lùi một bước
Mr. Smith is sure to come on Sunday,Ông. smith chắc chắn sẽ đến vào chủ nhật
Mrs. Jones counts sheep every night to go to sleep.,Bà. jones đếm cừu mỗi đêm để đi ngủ.
It's a work in progress.,đó là một công việc đang tiến triển.
I told Tom I was going to handle it,tôi nói với tom tôi sẽ xử lý nó
"You write very neatly, don't you?",bạn viết rất gọn gàng phải không?
Sewing is manual work,may là công việc thủ công
"Look, it's my problem","hãy nhìn xem, đó là vấn đề của tôi"
Tom was stupid enough to believe what Mary told him.,Tom đủ ngu ngốc để tin những gì mary nói với anh ta.
"The right word may be effective, but no word was ever as effective as a rightly timed pause","từ đúng có thể có hiệu lực, nhưng không có từ nào hiệu quả bằng việc tạm dừng đúng thời gian"
"By the time we got there, he had left","Khi chúng tôi đến đó, anh ấy đã rời đi"
It was very hard,nó đã rất khó
"By the time we got there, the ship had left.","Khi chúng tôi đến đó, con tàu đã rời đi."
"At the end of every day, his back was tired and his legs hurt.","vào cuối mỗi ngày, lưng anh mệt mỏi và chân anh đau."
The man died a few hours ago,người đàn ông đã chết cách đây vài giờ
Mary died during childbirth.,mary chết trong khi sinh con.
They shouted as loudly as they could,họ hét to hết mức có thể
I was satisfied with the steak dinner,tôi hài lòng với bữa tối bít tết
He worked hard to earn a lot of money.,anh ấy làm việc chăm chỉ để kiếm được nhiều tiền.
What're you two doing?,hai bạn đang làm gì vậy
Tom bounced back.,tom bật lại.
It's your problem now,bây giờ là vấn đề của bạn
The police treated Tom like a common criminal.,cảnh sát đối xử với tom như một tên tội phạm thông thường.
He fell flat on the floor,anh ta ngã xuống sàn
That had to hurt.,mà phải đau.
Mr. Johnson's room was a large one,Ông. phòng của John là một phòng lớn
Maybe he will arrive tonight,có lẽ anh sẽ đến tối nay
Tom promised Mary that he wouldn't drink anymore.,Tom hứa với mary rằng anh sẽ không uống nữa.
Why are they here?,tại sao họ ở đây?
My grandmother can fly,bà tôi có thể bay
Our success depends on whether he helps us or not,thành công của chúng ta phụ thuộc vào việc anh ta có giúp chúng ta hay không
I hate spinach,tôi ghét rau bina
I went to the library to read books.,tôi đến thư viện để đọc sách
He is looked up to as their leader,anh ấy được coi là người lãnh đạo của họ
He confessed he had to lie,anh thú nhận anh phải nói dối
Tom has bad breath,tom bị hôi miệng
We've had trouble with Tom before.,chúng tôi đã gặp rắc rối với tom trước đây.
Have you ever seen a UFO?,bạn có bao giờ thấy vật thể bay không xác định chưa?
I can feel it in my gut,tôi có thể cảm thấy nó trong ruột của tôi
I can't understand the problem,tôi không thể hiểu vấn đề
I found the film interesting.,tôi thấy bộ phim thú vị
He looked like a rich man,anh ấy trông như một người đàn ông giàu có
Tom likes to talk about himself,tom thích nói về bản thân
I'm Tom's driver,tôi là tài xế của tom
Who does she get that from?,cô ấy nhận được điều đó từ ai?
Tom went on a blind date,tom đã đi vào một ngày mù
Tom will go first.,tom sẽ đi trước.
That kid's a chip off the old block.,Đứa trẻ đó là một con chip ra khỏi khối cũ.
That's a pretty good idea,đó là một ý tưởng khá tốt
I need you to help me here,tôi cần bạn giúp tôi ở đây
I'm convinced that Tom didn't do what Mary accused him of doing,Tôi tin rằng tom đã không làm những gì mary buộc tội anh ta đã làm
This bag is greasy.,cái túi này dính dầu mỡ
It is absolutely impossible,nó là hoàn toàn không thể
Tom has no alternative.,tom không có sự thay thế.
It's your turn to drive.,đến lượt bạn lái xe.
I bought a pair of boots,tôi đã mua một đôi giày
Quit joking around,bỏ trò đùa
The sofa takes up too much room.,ghế sofa chiếm quá nhiều phòng.
Let's get a picture of the whole team.,Hãy lấy một bức tranh của cả đội.
Tom was on the bus.,Tom đã lên xe buýt.
It cost me 100 yen to send the letter.,Tôi mất 100 yên để gửi thư.
Tom balled his hands into fists,tom nắm tay thành nắm đấm
I go to bed at eleven.,tôi đi ngủ lúc mười một giờ
I can't sell that to you.,tôi không thể bán nó cho bạn
"I dunno if it's a bug or what, but this software doesn't work right","Tôi không biết đó có phải là lỗi hay không, nhưng phần mềm này không hoạt động đúng"
She's not a bad girl.,cô ấy không phải là một cô gái xấu
Tom is getting worried,tom đang lo lắng
This is the last one we have.,đây là cái cuối cùng chúng ta có
He knows how to drive a car.,Anh ấy biết lái xe.
He was a man of great ambition,ông là một người có tham vọng lớn
I'll be ready in just a second,tôi sẽ sẵn sàng chỉ trong một giây
"Starting tomorrow, we'll stay open until 9:00 p.m","bắt đầu từ ngày mai, chúng tôi sẽ mở cửa đến 9:00 tối"
How come you didn't come to the party?,Sao bạn không đến dự tiệc?
She has no idea what I intend to do.,cô ấy không biết tôi định làm gì
We are just about the same age,chúng ta chỉ bằng tuổi nhau
What've you done?,bạn đã làm gì
Choose one from among these prizes,chọn một trong số những giải thưởng này
We've decided to remove Tom from life support.,chúng tôi đã quyết định loại bỏ tom khỏi hỗ trợ cuộc sống.
Roll up your right sleeve.,xắn tay áo lên.
"It's not going well, is it?","nó sẽ không tốt, phải không?"
"Tom offered Mary a drink of water, but she refused","tom mời mary uống nước, nhưng cô từ chối"
I'm sure I don't need to do that,tôi chắc chắn rằng tôi không cần phải làm điều đó
The wooden chair costs sixty libras.,Chiếc ghế gỗ có giá sáu mươi libras.
"If the boss finds this out, I'm done for","nếu ông chủ phát hiện ra điều này, tôi đã xong"
Tom finished the race,tom kết thúc cuộc đua
He's giving it a go,anh ấy cho nó đi
I'm sure she will become a great singer.,Tôi chắc rằng cô ấy sẽ trở thành một ca sĩ tuyệt vời.
When did you talk to Tom?,khi nào bạn nói chuyện với tom
This road is dangerous.,con đường này nguy hiểm
Are you going to help us?,bạn sẽ giúp chúng tôi chứ?
I only want the money you owe me.,tôi chỉ muốn số tiền bạn nợ tôi
My parents were proud of me,bố mẹ tôi tự hào về tôi
I've done no such thing,tôi đã không làm điều đó
We need water,chúng ta cần nước
"Today, everything went awry from the start","hôm nay, mọi thứ trở nên tồi tệ ngay từ đầu"
The mayor presented him with the key to the city,thị trưởng tặng ông chìa khóa cho thành phố
Tom tipped the bellboy.,tom nghiêng người gác chuông.
He repaired my watch for me.,anh sửa đồng hồ cho tôi.
He must have left,anh ấy phải rời đi
I was going to do it myself.,tôi sẽ tự làm điều đó
He finally succeeded,cuối cùng anh ấy đã thành công
Tom picked up his glass and took a sip of water.,tom cầm ly lên và uống một ngụm nước.
That was it,Điều đó là vậy đó
I am a citizen of Sapporo,tôi là công dân của sapporo
Water and oil are both liquids.,Nước và dầu đều là chất lỏng.
Did you have to get up very early this morning?,sáng nay bạn có dậy sớm không?
Tom made Mary laugh,tom làm mary cười
Nancy can't decide anything for herself,nancy không thể quyết định bất cứ điều gì cho mình
We are faced with many difficulties,chúng tôi đang gặp nhiều khó khăn
Please come over if you have time,vui lòng ghé qua nếu bạn có thời gian
The bus went over the cliff,xe buýt đi qua vách đá
I waited for an hour in the meeting room,tôi đã đợi một giờ trong phòng họp
The parents could not help scolding their little child.,cha mẹ không thể không trách mắng đứa con nhỏ của họ.
"I paid 2,000 yen for this atlas",tôi đã trả 2.000 yên cho tập bản đồ này
Did you leave at the same time as my younger sister?,bạn đã rời đi cùng lúc với em gái tôi?
"Generally speaking, Tom is right","nói chung, tom nói đúng"
I was your age once.,tôi đã bằng tuổi bạn một lần
Tom is the richest man I know.,Tom là người đàn ông giàu nhất mà tôi biết.
"When we are away from home, nothing gives us more pleasure than to receive a parcel from home","khi chúng tôi vắng nhà, không có gì mang lại cho chúng tôi nhiều niềm vui hơn là nhận được một bưu kiện từ nhà"
Tom doesn't like Mary very much,tom không thích mary lắm
I've still got some time,tôi vẫn còn chút thời gian
I saw the cook,tôi đã thấy đầu bếp
You won't believe your eyes.,bạn sẽ không tin vào mắt mình
I'll do it with you,tôi sẽ làm điều đó với bạn
Most Americans approved of what Coolidge did.,Hầu hết người Mỹ đã chấp thuận những gì cool lạnh đã làm.
You're charming.,Bạn duyên dáng.
Brian kept the door open.,brian giữ cửa mở.
How many bus stops are there between here and where you get off?,Có bao nhiêu điểm dừng xe buýt giữa đây và nơi bạn xuống xe?
She is said to have been rich,cô ấy được cho là giàu có
What is the cause of the fire?,nguyên nhân của vụ cháy là gì?
We got a good price for that,chúng tôi có một mức giá tốt cho điều đó
The police searched the house and seized 2 kilograms of heroin.,Cảnh sát đã khám xét ngôi nhà và thu giữ 2 kg heroin.
I should've done it by myself,tôi nên tự làm một mình
Something's beginning.,một cái gì đó bắt đầu.
Tom was the very last to arrive,tom là người cuối cùng đến
Did you have a good time last night?,tối qua bạn có vui không
I just want to know what time I'm supposed to pick Tom up,tôi chỉ muốn biết mấy giờ tôi nên đón tom
Tom gets off work at five,tom nghỉ làm lúc năm giờ
Tom gave Mary the cold shoulder,tom cho mary vai lạnh
I saw a dog crossing the street,tôi thấy một con chó băng qua đường
Tom needs a good lawyer,tom cần một luật sư giỏi
The proposal went through,đề nghị đã đi qua
Who are you quarreling with?,bạn đang cãi nhau với ai
I didn't know you worked here.,Tôi không biết bạn đã làm việc ở đây.
I was thinking about you a lot today,tôi đã suy nghĩ về bạn rất nhiều ngày hôm nay
