en_sents,vi_sents
The factory suffered extensive bombing from the opposing forces.,Nhà máy phải chịu đựng cuộc ném bom dữ dội từ các lực lượng đối lập.
Tom's family vacations in the mountains every summer.,kỳ nghỉ của gia đình tom trên núi mỗi mùa hè.
The fuel gauge is broken.,đồng hồ đo nhiên liệu bị hỏng.
Someone has walked off with my pencil.,ai đó đã đi bằng bút chì của tôi.
We only use our basement for storage.,chúng tôi chỉ sử dụng tầng hầm của chúng tôi để lưu trữ.
This week is Fire Prevention Week,tuần này là tuần phòng cháy
We put in a lot of effort to achieve what we have.,Chúng tôi đã bỏ ra rất nhiều nỗ lực để đạt được những gì chúng tôi có.
Is that a fact?,Có phải đó là một thực tế?
That gave me a rough idea,điều đó đã cho tôi một ý tưởng sơ bộ
I'm no longer your assistant,tôi không còn là trợ lý của bạn
Sometimes it is pleasant to look back on one's childhood,đôi khi thật dễ chịu khi nhìn lại thời thơ ấu của một người
Tom always comments on my clothes,tom luôn bình luận về quần áo của tôi
Won't you have some coffee?,bạn sẽ không uống cà phê chứ?
Mary confirmed her intention to finish her homework.,Mary xác nhận ý định hoàn thành bài tập về nhà của mình.
Do you think I should stop Tom?,Bạn có nghĩ rằng tôi nên dừng tom?
We're not desperate yet.,chúng tôi chưa tuyệt vọng
We're a little behind,chúng tôi chậm hơn một chút
Tom shouldn't have used Mary's car without permission.,Tom không nên sử dụng xe của Mary mà không được phép.
Your children are impressively disciplined.,Con cái của bạn rất kỷ luật một cách đáng kinh ngạc.
I know someone whose dad teaches.,Tôi biết một người có bố làm nghề dạy học.
They all listened.,tất cả họ đều lắng nghe
I imagine that Tom will eventually fire Mary,tôi tưởng tượng rằng tom cuối cùng sẽ bắn mary
Beef is expensive nowadays.,Thịt bò ngày nay đắt tiền.
He has his father's speaking style.,Anh ấy có phong cách nói chuyện của bố mình.
She wanted him to say that he loved her,cô muốn anh nói rằng anh yêu cô
I really hate dairy products,tôi thực sự ghét các sản phẩm sữa
Tom has become a Canadian citizen.,tom đã trở thành một công dân Canada.
You need a license to drive a car,bạn cần bằng lái xe ô tô
He kissed her hand,anh hôn tay cô
The moon has no grass.,Mặt trăng không có cỏ.
Do you know how my friends describe me?,bạn có biết bạn bè của tôi mô tả tôi như thế nào không?
We'll catch up with them later.,chúng ta sẽ bắt kịp với họ sau
Tom claimed he wasn't afraid,tom tuyên bố anh không sợ
He is quite at home with computers.,Anh ấy ở nhà với máy tính.
Is there some kind of problem here?,Có một số loại vấn đề ở đây?
Please affix your signature at this spot.,Vui lòng ký tên của bạn vào vị trí này.
What exactly is this?,Cái này chính xác là gì?
I don't know what to do either.,tôi cũng không biết phải làm gì.
I had not waited long before she turned up.,tôi đã không đợi lâu trước khi cô ấy bật lên.
We had a short vacation in February.,chúng tôi đã có một kỳ nghỉ ngắn trong tháng hai.
Tom won't speak to anybody,tom sẽ không nói chuyện với bất cứ ai
He will often sit and look at the sea for hours.,anh ta sẽ thường ngồi và nhìn ra biển hàng giờ.
Tom doesn't recall where he left his coat.,Tom không nhớ mình đã để áo khoác ở đâu.
I avoid both cigarettes and alcohol.,Tôi tránh cả thuốc lá và rượu.
I had not expected Tom to be at the meeting,tôi đã không mong đợi tom sẽ có mặt tại cuộc họp
I emailed Tom his homework,tôi đã gửi email cho tom bài tập về nhà của anh ấy
Tom wants a sandwich.,tom muốn một chiếc bánh sandwich.
I suggested that John be called.,tôi đề nghị john được gọi.
The executive committee appointed him the president of the company.,ủy ban điều hành bổ nhiệm ông làm chủ tịch công ty.
What can you do now?,bạn có thể làm gì bây giờ?
I owe you a sincere apology,tôi nợ bạn một lời xin lỗi chân thành
This marks the third time I've done it.,Đây là lần thứ ba tôi làm việc đó.
That's exactly why I didn't tell you,đó chính xác là lý do tại sao tôi không nói với bạn
I had a blast yesterday night.,Tối qua tôi đã rất phấn khích.
The police seized the robber by the neck,cảnh sát đã bắt giữ tên cướp bằng cổ
Thank you for the time you spent with me during my visit to Atlanta,cảm ơn bạn đã dành thời gian cho tôi trong chuyến thăm của tôi đến Atlanta
They believed in me,họ tin tôi
We both know you don't swim very well,cả hai chúng tôi đều biết bạn không bơi rất giỏi
Tom wants you back,tom muốn bạn trở lại
I'll do it with you,tôi sẽ làm điều đó với bạn
He has gone to the library,anh ấy đã đi đến thư viện
Her vocal quality utterly charmed us.,Chất giọng của cô ấy hoàn toàn làm chúng tôi mê mẩn.
I'm not seen as competent enough for the job by my boss.,Tôi không được ông chủ của mình coi là đủ năng lực cho công việc.
Is there a restaurant close by?,Có nhà hàng nào gần không?
You should wash your hands.,bạn nên rửa tay
Tom walked down the hall alone.,tom bước xuống hội trường một mình.
I don't know what you really want,tôi không biết bạn thực sự muốn gì
Tom was skiing with his father when the accident happened.,Tom đang trượt tuyết với cha thì tai nạn xảy ra.
"I acquired this atlas for 2,000 yen.",Tôi đã mua tập bản đồ này với giá 2.000 yên.
She showed him several books that were on the shelf.,Cô cho anh xem vài quyển sách trên kệ.
She's in Japan specifically to undertake Japanese language lessons.,Cô ấy ở Nhật Bản đặc biệt để tham gia các bài học tiếng Nhật.
"I had no more than 1,000 yen",tôi đã có không quá 1.000 yên
Don't worry. I'll teach you how to drive.,đừng lo lắng Tôi sẽ dạy bạn lái xe.
I have many things to do,tôi có nhiều việc phải làm
Tom's undoubtedly furious.,Tom chắc chắn là tức điên.
I'll follow Tom's recommendations,tôi sẽ làm theo khuyến nghị của tom
"In science class, we drew pictures of cells","Trong lớp học khoa học, chúng tôi đã vẽ hình ảnh của các tế bào"
How many constellations can you name?,bạn có thể đặt tên cho bao nhiêu chòm sao?
London is where she resides.,Luân Đôn là nơi cô ấy sinh sống.
We were ready to head out.,Chúng tôi đã sẵn sàng để ra ngoài.
Tom chose to stay,tom chọn ở lại
Mary mentioned she would get her homework done.,Mary đã đề cập rằng cô ấy sẽ làm xong bài tập về nhà.
You've managed to get us into a troublesome situation.,Bạn đã xoay sở để đưa chúng tôi vào một tình huống rắc rối.
Tom put in a request for Mary to acquire a ticket on his behalf.,Tom đã yêu cầu Mary mua vé hộ anh ấy.
Xiaoli is the tallest in our class.,xiaoli là người cao nhất trong lớp của chúng tôi.
I'd like to make a reservation for 6 p.m. tomorrow.,Tôi muốn đặt chỗ trước 6 giờ tối. Ngày mai.
I see where Tom is coming from.,Tôi hiểu Tom xuất phát từ đâu.
He's known for his honesty.,Anh ấy nổi tiếng về sự trung thực của mình.
I discovered the gloves positioned under the seat.,Tôi đã phát hiện ra đôi găng tay đặt dưới ghế.
My brother is arriving tomorrow morning,sáng mai anh tôi đến
We've come home,chúng ta về nhà
We've decided to remove Tom from life support.,chúng tôi đã quyết định loại bỏ tom khỏi hỗ trợ cuộc sống.
Our team is still undefeated,đội của chúng tôi vẫn bất bại
Tom seems to want to talk to you,Tom dường như muốn nói chuyện với bạn
Where is the nearest shop?,cửa hàng gần nhất ở đâu?
Tom certainly isn't as bad as Mary claims he is.,Tom chắc chắn không tệ như mary tuyên bố.
Is every box now open?,Bây giờ tất cả các hộp đã được mở chưa?
The room went dark after she took action.,Căn phòng tối sầm lại sau khi cô ấy hành động.
This is Tom's last shot at redemption from my side.,Đây là cơ hội cuối cùng để Tom chuộc lỗi từ phía tôi.
We should've gotten up earlier.,chúng ta nên thức dậy sớm hơn
That land enjoys moderate weather conditions.,Vùng đất đó có điều kiện thời tiết ôn hòa.
I just wanted Mary to love me.,tôi chỉ muốn mary yêu tôi
